Date,dmt_v2_equity,baseline_equity,buy_hold_equity,position
2024-06-24,637.8872,670.14825,670.14825,0.0
2024-06-25,637.8872,672.72894,672.72894,0.0
2024-06-26,637.8872,673.5685,673.5685,0.0
2024-06-27,637.8872,674.6304,674.6304,0.0
2024-06-28,637.8872,671.9756,671.9756,0.0
2024-07-01,637.8872,673.3586,673.3586,0.0
2024-07-02,637.8872,677.8901,677.8901,0.0
2024-07-03,640.3731,680.9153,680.9153,0.8732525110244751
2024-07-05,640.3731,684.8418,684.8418,0.0
2024-07-08,641.0183,685.63196,685.63196,0.8732525110244751
2024-07-09,641.5627,686.29877,686.29877,0.8732525110244751
2024-07-10,641.5627,693.0898,693.0898,0.0
2024-07-11,641.5627,687.11365,687.11365,0.0
2024-07-12,641.5627,691.44763,691.44763,0.0
2024-07-15,641.5627,693.3491,693.3491,0.0
2024-07-16,641.5627,697.4609,697.4609,0.0
2024-07-17,641.5627,687.6816,687.6816,0.0
2024-07-18,641.5627,682.39685,682.39685,0.0
2024-07-19,641.5627,677.8653,677.8653,0.0
2024-07-22,641.5627,684.85406,684.85406,0.0
2024-07-23,641.5627,683.77985,683.77985,0.0
2024-07-24,641.5627,668.2837,668.2837,0.0
2024-07-25,641.5627,664.8017,664.8017,0.0
2024-07-26,641.5627,672.2473,672.2473,0.0
2024-07-29,641.5627,672.64246,672.64246,0.0
2024-07-30,641.5627,669.23456,669.23456,0.0
2024-07-31,641.5627,680.1127,680.1127,0.0
2024-08-01,641.5627,670.4816,670.4816,0.0
2024-08-02,641.5627,657.9984,657.9984,0.0
2024-08-05,641.5627,638.835,638.835,0.0
2024-08-06,641.5627,644.72485,644.72485,0.0
2024-08-07,641.5627,640.4155,640.4155,0.0
2024-08-08,641.5627,655.2203,655.2203,0.0
2024-08-09,644.03314,658.1095,658.1095,0.8732566237449646
2024-08-12,644.03314,658.45514,658.45514,0.0
2024-08-13,653.2823,669.28394,669.28394,0.8732525706291199
2024-08-14,655.08203,671.3954,671.3954,0.8732525110244751
2024-08-15,664.88715,682.90326,682.90326,0.8732525110244751
2024-08-16,666.18884,684.4343,684.4343,0.8732525110244751
2024-08-19,671.7512,690.9785,690.9785,0.8732525110244751
2024-08-20,670.7973,689.85486,689.85486,0.8732525110244751
2024-08-21,672.8104,692.22565,692.22565,0.8732525110244751
2024-08-22,668.19916,686.79266,686.79266,0.8732525110244751
2024-08-23,674.3992,694.0901,694.0901,0.8732525110244751
2024-08-26,674.3992,692.4355,692.4355,0.0
2024-08-27,674.3992,693.3862,693.3862,0.0
2024-08-28,674.3992,689.3609,689.3609,0.0
2024-08-29,674.3992,689.4226,689.4226,0.0
2024-08-30,674.3992,696.00385,696.00385,0.0
2024-09-03,674.3992,681.68085,681.68085,0.0
2024-09-04,674.3992,680.2855,680.2855,0.0
2024-09-05,674.3992,678.6309,678.6309,0.0
2024-09-06,674.3992,667.2094,667.2094,0.0
2024-09-09,674.3992,674.6797,674.6797,0.0
2024-09-10,674.3992,677.61847,677.61847,0.0
2024-09-11,674.3992,684.5702,684.5702,0.0
2024-09-12,674.3992,690.33655,690.33655,0.0
2024-09-13,677.475,693.942,693.942,0.8732525110244751
2024-09-16,677.475,694.9668,694.9668,0.0
2024-09-17,677.7167,695.2508,695.2508,0.8732525110244751
2024-09-18,675.9615,693.18884,693.18884,0.8732525110244751
2024-09-19,686.03436,705.01764,705.01764,0.8732525110244751
2024-09-20,684.9988,703.79895,703.79895,0.8732525110244751
2024-09-23,684.9988,705.5577,705.5577,0.0
2024-09-24,686.7104,707.57654,707.57654,0.8732525110244751
2024-09-25,686.7104,706.016,706.016,0.0
2024-09-26,686.7104,708.8151,708.8151,0.0
2024-09-27,686.7104,707.7871,707.7871,0.0
2024-09-30,686.7104,710.62335,710.62335,0.0
2024-10-01,686.7104,704.2573,704.2573,0.0
2024-10-02,686.7104,704.5545,704.5545,0.0
2024-10-03,686.7104,703.2664,703.2664,0.0
2024-10-04,686.7104,709.6573,709.6573,0.0
2024-10-07,686.7104,703.2416,703.2416,0.0
2024-10-08,686.7104,709.8925,709.8925,0.0
2024-10-09,686.7104,714.80963,714.80963,0.0
2024-10-10,685.66095,713.55865,713.55865,0.8732525110244751
2024-10-11,689.24646,717.8316,717.8316,0.8732525110244751
2024-10-14,694.1689,723.7022,723.7022,0.8732525110244751
2024-10-15,694.1689,718.0793,718.0793,0.0
2024-10-16,696.8037,721.20044,721.20044,0.8732525110244751
2024-10-17,696.8559,721.26227,721.26227,0.8732525110244751
2024-10-18,699.1966,724.0366,724.0366,0.8732525110244751
2024-10-21,699.1966,722.84766,722.84766,0.0
2024-10-22,699.1966,722.4637,722.4637,0.0
2024-10-23,699.1966,715.86224,715.86224,0.0
2024-10-24,699.1966,717.4105,717.4105,0.0
2024-10-25,699.1966,717.1628,717.1628,0.0
2024-10-28,699.1966,719.37976,719.37976,0.0
2024-10-29,699.1966,720.54407,720.54407,0.0
2024-10-30,699.1966,718.3642,718.3642,0.0
2024-10-31,699.1966,704.28204,704.28204,0.0
2024-11-01,699.1966,707.2545,707.2545,0.0
2024-11-04,699.1966,705.7311,705.7311,0.0
2024-11-05,699.1966,714.2647,714.2647,0.0
2024-11-06,714.37885,732.02527,732.02527,0.8732525110244751
2024-11-07,719.2025,737.6855,737.6855,0.8732525110244751
2024-11-08,719.2025,740.88086,740.88086,0.0
2024-11-11,719.80096,741.5869,741.5869,0.8732525110244751
2024-11-12,719.80096,739.28326,739.28326,0.0
2024-11-13,720.1063,739.6424,739.6424,0.8732525110244751
2024-11-14,720.1063,734.8864,734.8864,0.0
2024-11-15,720.1063,725.4736,725.4736,0.0
2024-11-18,720.1063,728.4461,728.4461,0.0
2024-11-19,720.1063,731.109,731.109,0.0
2024-11-20,720.1063,731.3568,731.3568,0.0
2024-11-21,720.1063,735.2829,735.2829,0.0
2024-11-22,720.1063,737.56177,737.56177,0.0
2024-11-25,720.1063,740.06366,740.06366,0.0
2024-11-26,723.38983,743.9279,743.9279,0.8732525110244751
2024-11-27,721.4757,741.67377,741.67377,0.8732525110244751
2024-11-29,725.38947,746.28107,746.28107,0.8732525110244751
2024-12-02,726.52484,747.6187,747.6187,0.8732525110244751
2024-12-03,726.52484,747.9656,747.9656,0.0
2024-12-04,726.52484,752.61,752.61,0.0
2024-12-05,725.48083,751.3715,751.3715,0.8732525110244751
2024-12-06,725.48083,752.7959,752.7959,0.0
2024-12-09,725.48083,748.9193,748.9193,0.0
2024-12-10,725.48083,746.5908,746.5908,0.0
2024-12-11,725.48083,752.3624,752.3624,0.0
2024-12-12,725.48083,748.48584,748.48584,0.0
2024-12-13,725.48083,748.33716,748.33716,0.0
2024-12-16,725.48083,751.53253,751.53253,0.0
2024-12-17,725.48083,748.43616,748.43616,0.0
2024-12-18,725.48083,726.1302,726.1302,0.0
2024-12-19,725.48083,725.9072,725.9072,0.0
2024-12-20,725.48083,734.62616,734.62616,0.0
2024-12-23,725.48083,739.02527,739.02527,0.0
2024-12-24,725.48083,747.2395,747.2395,0.0
2024-12-26,725.48083,747.2893,747.2893,0.0
2024-12-27,725.48083,739.4229,739.4229,0.0
2024-12-30,718.2512,730.9849,730.9849,0.8732528686523438
2024-12-31,715.96936,728.32556,728.32556,0.8732530474662781
2025-01-02,715.96936,726.5361,726.5361,0.0
2025-01-03,715.96936,735.62024,735.62024,0.0
2025-01-06,715.96936,739.8579,739.8579,0.0
2025-01-07,715.96936,731.49457,731.49457,0.0
2025-01-08,715.96936,732.56323,732.56323,0.0
2025-01-10,715.96936,721.37885,721.37885,0.0
2025-01-13,715.96936,722.4973,722.4973,0.0
2025-01-14,715.96936,723.4915,723.4915,0.0
2025-01-15,727.34216,736.65186,736.65186,0.8732525706291199
2025-01-16,726.12067,735.23517,735.23517,0.8732531666755676
2025-01-17,732.4868,742.6169,742.6169,0.8732525706291199
2025-01-21,738.34186,749.4144,749.4144,0.8732525110244751
2025-01-22,741.9663,753.6272,753.6272,0.8732525110244751
2025-01-23,745.50275,757.7406,757.7406,0.8732525110244751
2025-01-24,745.50275,755.5285,755.5285,0.0
2025-01-27,736.29395,744.84125,744.84125,0.8732525110244751
2025-01-28,741.81866,751.2412,751.2412,0.8732525110244751
2025-01-29,738.9146,747.8735,747.8735,0.8732525110244751
2025-01-30,738.9146,751.8873,751.8873,0.0
2025-01-31,738.9146,747.88586,747.88586,0.0
