Date,Open,High,Low,Close,Volume
2015-01-23,232.7,236.97,224.84,232.17,38166.88
2015-01-24,232.17,248.88,229.58,248.16,33239.37
2015-01-25,248.16,256.43,241.36,252.09,50188.59
2015-01-26,252.09,310.91,251.5,269.18,105714.48
2015-01-27,269.18,276.9,247.26,263.27,50260.04
2015-01-28,263.27,267.66,228.06,236.17,63771.42
2015-01-29,236.17,241.51,220.36,233.99,54485.72
2015-01-30,233.99,244.83,227.19,231.84,48226.84
2015-01-31,231.84,235.36,216.46,218.51,42154.24
2015-02-01,218.51,231.44,209.71,225.29,41163.75
2015-02-02,225.29,242.51,220.53,238.86,39015.62
2015-02-03,238.86,247.48,223.91,227.41,63078.64
2015-02-04,227.41,230.71,220.23,226.58,55242.53
2015-02-05,226.58,229.85,214.35,216.52,40642.68
2015-02-06,216.52,226.16,215.65,222.96,52515.37
2015-02-07,222.96,231.0,222.38,227.68,39761.33
2015-02-08,227.68,230.23,219.5,223.67,29048.5
2015-02-09,223.67,225.0,215.66,220.34,91686.86
2015-02-10,220.34,222.19,214.44,219.67,86145.83
2015-02-11,219.67,223.53,217.28,218.83,71734.25
2015-02-12,218.83,223.0,217.3,221.79,50109.53
2015-02-13,221.79,241.58,220.62,236.17,112253.36
2015-02-14,236.17,261.25,235.38,258.64,133796.04
2015-02-15,258.64,264.57,226.56,233.27,179142.98
2015-02-16,233.27,240.03,228.01,235.83,115467.55
2015-02-17,235.83,247.17,232.03,243.2,116259.51
2015-02-18,243.2,245.51,231.7,235.2,99662.48
2015-02-19,235.2,244.11,234.87,241.92,66053.23
2015-02-20,241.92,247.76,238.83,244.52,83584.59
2015-02-21,244.52,247.32,242.65,244.41,42952.95
2015-02-22,244.41,246.54,232.72,235.73,75700.07
2015-02-23,235.73,240.06,231.33,238.82,62672.06
2015-02-24,238.82,240.25,235.5,238.89,45034.29
2015-02-25,238.89,239.64,234.59,237.33,38095.34
2015-02-26,237.33,238.17,233.5,236.53,50871.35
2015-02-27,236.53,258.72,235.7,253.47,167808.96
2015-02-28,253.47,255.4,248.73,254.06,39409.14
2015-03-01,254.06,260.65,244.77,257.94,51327.58
2015-03-02,257.94,274.8,256.15,273.75,81093.26
2015-03-03,273.75,287.06,266.12,280.65,164816.88
2015-03-04,280.65,284.47,265.91,271.92,138996.99
2015-03-05,271.92,280.84,262.81,275.23,123644.37
2015-03-06,275.23,277.99,269.02,272.56,98796.9
2015-03-07,272.56,278.25,269.41,274.91,60715.12
2015-03-08,274.91,278.78,271.31,274.49,50400.9
2015-03-09,274.49,293.26,273.79,290.02,151770.38
2015-03-10,290.02,300.96,288.12,291.37,158177.83
2015-03-11,291.37,297.66,288.88,295.6,79980.96
2015-03-12,295.6,296.98,290.83,293.85,107321.48
2015-03-13,293.85,294.92,286.08,287.21,97342.01
2015-03-14,287.21,288.4,279.3,281.6,75719.87
2015-03-15,281.6,286.39,280.37,284.88,39454.72
2015-03-16,284.88,294.01,284.77,290.41,66339.57
2015-03-17,290.41,292.46,283.25,285.38,65014.37
2015-03-18,285.38,285.65,248.19,255.92,206739.42
2015-03-19,255.92,264.8,247.0,260.93,180691.53
2015-03-20,260.93,264.71,257.85,261.78,52832.95
2015-03-21,261.78,263.26,254.02,259.71,51651.97
2015-03-22,259.71,270.42,259.0,268.57,56633.33
2015-03-23,268.57,271.01,259.38,265.46,81449.75
2015-03-24,265.46,267.02,242.67,246.72,151085.48
2015-03-25,246.72,249.21,234.84,246.37,131441.85
2015-03-26,246.37,254.69,243.52,248.02,89470.97
2015-03-27,248.02,250.05,244.47,247.21,62563.89
2015-03-28,247.21,254.25,246.28,252.02,55058.15
2015-03-29,252.02,252.81,238.93,242.08,77539.18
2015-03-30,242.08,248.83,236.55,246.79,85332.75
2015-03-31,246.79,248.7,241.18,244.15,75332.15
2015-04-01,244.15,247.67,239.57,246.24,67076.52
2015-04-02,246.24,254.85,244.25,252.6,81367.61
2015-04-03,252.6,256.53,251.26,254.48,71738.22
2015-04-04,254.48,255.24,250.31,252.89,30716.88
2015-04-05,252.89,260.26,250.6,259.64,43829.64
2015-04-06,259.64,261.45,252.32,254.97,45930.83
2015-04-07,254.97,255.6,250.15,252.97,44793.41
2015-04-08,252.97,254.26,242.57,244.57,102647.59
2015-04-09,244.57,246.22,237.62,243.32,69191.17
2015-04-10,243.32,244.11,231.3,234.73,100200.45
2015-04-11,234.73,240.0,233.12,236.48,51985.54
2015-04-12,236.48,237.52,232.27,235.85,33032.15
2015-04-13,235.85,236.75,220.36,223.59,105151.51
2015-04-14,223.59,224.72,214.27,217.99,115188.26
2015-04-15,217.99,223.56,217.15,222.97,77228.44
2015-04-16,222.97,229.53,222.87,227.98,84889.1
2015-04-17,227.98,229.28,220.56,222.59,66924.16
2015-04-18,222.59,224.47,220.57,223.35,36537.62
2015-04-19,223.35,226.94,221.96,223.02,35495.15
2015-04-20,223.02,226.72,221.58,224.24,44871.84
2015-04-21,224.24,235.27,223.29,233.73,68344.58
2015-04-22,233.73,238.4,231.8,233.78,77563.53
2015-04-23,233.78,236.12,232.58,235.4,42449.83
2015-04-24,235.4,236.55,229.06,231.09,69782.78
2015-04-25,231.09,232.29,223.05,226.14,43784.18
2015-04-26,226.14,226.72,214.14,218.7,100764.79
2015-04-27,218.7,242.65,216.6,228.96,123411.71
2015-04-28,228.96,229.87,222.03,225.81,65971.19
2015-04-29,225.81,227.24,222.25,225.42,60889.41
2015-04-30,225.42,240.01,224.68,235.77,112238.62
2015-05-01,235.77,239.42,232.38,233.21,60139.08
2015-05-02,233.21,236.38,231.73,235.34,37075.6
2015-05-03,235.34,243.58,233.8,239.99,55715.89
2015-05-04,239.99,243.2,237.45,238.97,69115.5
2015-05-05,238.97,239.61,231.78,235.82,77868.42
2015-05-06,235.82,237.15,228.24,230.03,103664.18
2015-05-07,230.03,240.25,228.33,237.73,91051.83
2015-05-08,237.73,247.01,235.77,243.74,87502.6
2015-05-09,243.74,247.87,238.52,241.4,62786.96
2015-05-10,241.4,244.82,238.23,239.96,44003.2
2015-05-11,239.96,243.95,238.86,241.81,57165.49
2015-05-12,241.81,243.0,239.18,241.58,40080.32
2015-05-13,241.58,243.91,234.07,236.38,84427.04
2015-05-14,236.38,239.17,232.36,236.9,71016.47
2015-05-15,236.9,238.83,235.53,237.2,46029.85
2015-05-16,237.2,237.78,234.57,236.23,27053.46
2015-05-17,236.23,237.77,235.35,236.3,28432.51
2015-05-18,236.3,237.1,231.46,232.64,53141.78
2015-05-19,232.64,234.5,231.27,232.02,40937.49
2015-05-20,232.02,235.17,231.47,233.96,49689.83
2015-05-21,233.96,236.65,233.61,235.38,42934.55
2015-05-22,235.38,242.0,234.56,240.37,74109.92
2015-05-23,240.37,241.73,238.05,238.94,36028.98
2015-05-24,238.94,242.39,237.48,240.98,30256.48
2015-05-25,240.98,241.79,235.81,237.41,26385.48
2015-05-26,237.41,238.99,235.58,237.84,37077.02
2015-05-27,237.84,238.95,235.89,237.29,48026.76
2015-05-28,237.29,238.41,236.23,237.32,35748.86
2015-05-29,237.32,237.89,235.13,237.03,38923.78
2015-05-30,237.03,237.06,231.59,233.22,41630.86
2015-05-31,233.22,233.99,229.13,229.84,38997.51
2015-06-01,229.84,231.76,220.97,223.14,87057.03
2015-06-02,223.14,227.44,222.25,225.74,60804.73
2015-06-03,225.74,227.86,223.69,225.59,54353.18
2015-06-04,225.59,226.71,223.49,224.22,44055.99
2015-06-05,224.22,226.36,222.15,225.29,56455.17
2015-06-06,225.29,225.76,223.53,224.74,22467.76
2015-06-07,224.74,226.36,222.21,223.47,40481.39
2015-06-08,223.47,229.91,222.99,228.57,74152.69
2015-06-09,228.57,231.36,227.51,229.56,54837.44
2015-06-10,229.56,230.44,227.84,228.79,41639.32
2015-06-11,228.79,230.64,228.54,229.88,38004.06
2015-06-12,229.88,231.58,229.29,230.46,40744.82
2015-06-13,230.46,233.14,229.01,232.48,38008.73
2015-06-14,232.48,235.51,232.09,233.75,32894.87
2015-06-15,233.75,238.55,233.29,237.0,63467.09
2015-06-16,237.0,254.15,235.7,249.82,122473.61
2015-06-17,249.82,258.48,245.09,247.38,121617.91
2015-06-18,247.38,251.95,242.46,248.44,78135.55
2015-06-19,248.44,250.81,243.65,244.13,84699.65
2015-06-20,244.13,246.63,238.7,244.98,51281.32
2015-06-21,244.98,246.03,240.94,244.1,25152.47
2015-06-22,244.1,248.6,243.16,247.46,47587.53
2015-06-23,247.46,247.67,242.32,243.76,38427.99
2015-06-24,243.76,244.51,239.05,240.56,47109.76
2015-06-25,240.56,243.65,239.32,242.56,40360.36
2015-06-26,242.56,243.49,240.14,242.95,37617.83
2015-06-27,242.95,251.57,241.83,250.73,54700.08
2015-06-28,250.73,251.59,246.62,248.88,39892.18
2015-06-29,248.88,257.54,247.96,256.97,92643.49
2015-06-30,256.97,268.73,255.37,264.12,116532.34
2015-07-01,264.12,265.0,254.41,257.62,66934.73
2015-07-02,257.62,261.29,253.09,254.88,45004.59
2015-07-03,254.88,256.71,252.44,255.4,36579.6
2015-07-04,255.4,261.08,253.37,260.55,32951.08
2015-07-05,260.55,274.14,257.61,270.14,48445.72
2015-07-06,270.14,277.48,266.46,269.08,90578.41
2015-07-07,269.08,271.34,263.21,266.21,41609.36
2015-07-08,266.21,273.57,263.18,268.64,45290.37
2015-07-09,268.64,272.31,265.13,269.14,48385.86
2015-07-10,269.14,297.85,266.91,283.62,117173.84
2015-07-11,283.62,298.76,282.28,291.97,46487.25
2015-07-12,291.97,315.88,291.26,310.44,120702.44
2015-07-13,310.44,310.88,276.85,290.35,146845.71
2015-07-14,290.35,296.96,285.17,286.96,60619.43
2015-07-15,286.96,292.92,283.17,283.42,59578.59
2015-07-16,283.42,290.84,273.28,276.59,121324.43
2015-07-17,276.59,280.76,271.17,279.62,62121.51
2015-07-18,279.62,282.53,243.24,274.05,55337.05
2015-07-19,274.05,277.07,271.85,273.18,30202.22
